nota,avaliacoes,nome,leram,querem_ler,relendo,abandonos,resenhas,autor,editora,ano,paginas
4.2,36356,Fahrenheit 451,56677,3498,55758,849,4345,Ray Bradbury,Biblioteca Azul,2012,215
4.3,20793,Clube da Luta,32693,1534,24027,700,1540,Chuck Palahniuk,LeYa Brasil,2012,272
4.2,2552,Barba ensopada de sangue,3682,201,3034,93,169,Daniel Galera,Companhia das Letras,2012,424
4.5,228756,Harry Potter e a Pedra Filosofal,606691,14080,120080,3100,10753,J.K. Rowling,Rocco,2000,224
4.8,37417,A Tormenta de Espadas,79250,4681,114288,1036,882,George R. R. Martin,Leya,2012,1474
4.7,69290,A Guerra dos Tronos,163606,16909,111992,5884,2219,George R. R. Martin,Leya,2014,1066
4.4,29598,O Festim dos Corvos,56778,3538,120958,748,629,George R. R. Martin,Leya,2012,1099
4.6,46259,A Fúria dos Reis,108632,6856,101155,1666,960,George R. R. Martin,Leya,2014,1190
4.7,24557,A Dança dos Dragões,46841,3674,120918,659,523,George R. R. Martin,Leya,2014,1448
4.0,1272,Os últimos dias de Krypton,1797,226,2202,138,91,Kevin J. Anderson,LeYa,2013,464
3.7,2046,Wayne de Gotham,2970,269,2338,188,142,Tracy Hickman,LeYa,2019,272
4.3,11840,A Espada do Verão,20767,1408,15817,456,760,Rick Riordan,Intrínseca,2015,448
3.9,42202,O Lado Bom da Vida,85782,2202,113969,2106,1738,Matthew Quick,Intrínseca,2013,256
4.3,1624,Star Wars: Kenobi,2396,225,2717,81,134,John Jackson Miller,Editora Aleph,2015,528
3.7,23607,A Sutil Arte de Ligar o F*da-se,35870,4957,20814,2620,1941,Mark Manson,Intrínseca,2017,224
4.2,2406,Star Wars: Herdeiro do Império,3791,379,3439,123,118,Timothy Zahn,Editora Aleph,2014,482
4.3,1205,Star Wars: Ascensão da Força Sombria,1871,117,2341,28,48,Timothy Zahn,Aleph,2015,504
4.4,961,Star Wars: O Último Comando,1461,58,2114,9,47,Timothy Zahn,Editora Aleph,2015,528
4.0,529,Star Wars: Sombras do Império,815,37,1415,13,25,Steve Perry,Editora Aleph,2015,448
3.8,21903,O Vendedor de Sonhos,66299,1807,13532,3657,681,Augusto Cury,Academia,2008,296
3.8,699,Star Wars: Tarkin,1004,70,1547,31,65,James Luceno,Editora Aleph,2015,368
4.0,804,Star Wars: Um Novo Amanhecer,1143,119,1908,39,51,John Jackson Miller,Editora Aleph,2015,424
4.0,606,Star Wars: Herdeiro do Jedi,848,71,1127,13,58,Kevin Hearne,Editora Aleph,2016,320
4.0,34431,A droga da obediência,104190,491,4351,378,793,Pedro Bandeira,Moderna,2009,192
4.0,6613,Droga de Americana!,14930,117,1906,62,66,Pedro Bandeira,Moderna,2009,192
4.3,2498,Star Wars: O Caminho Jedi,4262,292,3692,62,87,Daniel Wallace,Bertrand Brasil,2014,160
4.2,2151,Star Wars: Livro dos Sith,3627,271,3427,44,81,Daniel Wallace,Bertrand Brasil,2014,160
